# binary black hole Inspiral Simulation
# m1_solar=36.0
# m2_solar=29.0
# r_horizon_1_m=106320.21775440763
# r_horizon_2_m=85646.84207993947
# distance_mpc=410.0
# pn_order=2.5
# eccentricity=0.5
t_sec,bh1_x_m,bh1_y_m,bh1_z_m,bh2_x_m,bh2_y_m,bh2_z_m,separation_m,velocity_m_s,f_gw_hz,phase_rad,h_plus,h_cross
8.0957922264e-03,2.2253976207e+06,1.0599867951e+05,0.0000000000e+00,-2.7625625636e+06,-1.3158456767e+05,-0.0000000000e+00,4.9936151833e+06,2.9448178659e+07,2.6493942006e+00,4.7595371788e-02,1.4348416434e-22,1.3699768449e-23
8.2797875042e-03,2.2251506276e+06,1.0840358077e+05,0.0000000000e+00,-2.7622559514e+06,-1.3456996233e+05,-0.0000000000e+00,4.9933215926e+06,2.9451729807e+07,2.6496278674e+00,4.8678925442e-02,1.4346257320e-22,1.4011505399e-23
8.4637827821e-03,2.2248980791e+06,1.1080820139e+05,0.0000000000e+00,-2.7619424430e+06,-1.3755500863e+05,-0.0000000000e+00,4.9930213976e+06,2.9455360881e+07,2.6498668260e+00,4.9762603479e-02,1.4344049189e-22,1.4323267830e-23
8.6477780600e-03,2.2246399749e+06,1.1321253512e+05,0.0000000000e+00,-2.7616220378e+06,-1.4053969877e+05,-0.0000000000e+00,4.9927145978e+06,2.9459071885e+07,2.6501110792e+00,5.0846408690e-02,1.4341792009e-22,1.4635056304e-23
8.8317733378e-03,2.2243763147e+06,1.1561657569e+05,0.0000000000e+00,-2.7612947355e+06,-1.4352402499e+05,-0.0000000000e+00,4.9924011930e+06,2.9462862821e+07,2.6503606297e+00,5.1930343871e-02,1.4339485745e-22,1.4946871381e-23
9.0157686157e-03,2.2241070981e+06,1.1802031681e+05,0.0000000000e+00,-2.7609605356e+06,-1.4650797948e+05,-0.0000000000e+00,4.9920811825e+06,2.9466733693e+07,2.6506154803e+00,5.3014411816e-02,1.4337130362e-22,1.5258713619e-23
9.1997638936e-03,2.2238323248e+06,1.2042375221e+05,0.0000000000e+00,-2.7606194377e+06,-1.4949155446e+05,-0.0000000000e+00,4.9917545658e+06,2.9470684503e+07,2.6508756341e+00,5.4098615321e-02,1.4334725825e-22,1.5570583578e-23
9.3837591715e-03,2.2235519944e+06,1.2282687561e+05,0.0000000000e+00,-2.7602714414e+06,-1.5247474213e+05,-0.0000000000e+00,4.9914213426e+06,2.9474715256e+07,2.6511410940e+00,5.5182957187e-02,1.4332272098e-22,1.5882481816e-23
9.5677544493e-03,2.2232661066e+06,1.2522968073e+05,0.0000000000e+00,-2.7599165461e+06,-1.5545753469e+05,-0.0000000000e+00,4.9910815124e+06,2.9478825955e+07,2.6514118630e+00,5.6267440213e-02,1.4329769144e-22,1.6194408892e-23
9.7517497272e-03,2.2229746609e+06,1.2763216128e+05,0.0000000000e+00,-2.7595547515e+06,-1.5843992434e+05,-0.0000000000e+00,4.9907350745e+06,2.9483016603e+07,2.6516879442e+00,5.7352067202e-02,1.4327216924e-22,1.6506365362e-23
9.9357450051e-03,2.2226776570e+06,1.3003431097e+05,0.0000000000e+00,-2.7591860570e+06,-1.6142190327e+05,-0.0000000000e+00,4.9903820285e+06,2.9487287203e+07,2.6519693408e+00,5.8436840959e-02,1.4324615401e-22,1.6818351785e-23
1.0119740283e-02,2.2223750946e+06,1.3243612351e+05,0.0000000000e+00,-2.7588104622e+06,-1.6440346367e+05,-0.0000000000e+00,4.9900223738e+06,2.9491637760e+07,2.6522560560e+00,5.9521764290e-02,1.4321964536e-22,1.7130368716e-23
1.0303735561e-02,2.2220669731e+06,1.3483759261e+05,0.0000000000e+00,-2.7584279666e+06,-1.6738459773e+05,-0.0000000000e+00,4.9896561100e+06,2.9496068276e+07,2.6525480931e+00,6.0606840004e-02,1.4319264287e-22,1.7442416711e-23
1.0487730839e-02,2.2217532922e+06,1.3723871198e+05,0.0000000000e+00,-2.7580385696e+06,-1.7036529762e+05,-0.0000000000e+00,4.9892832365e+06,2.9500578757e+07,2.6528454555e+00,6.1692070910e-02,1.4316514615e-22,1.7754496327e-23
1.0671726117e-02,2.2214340515e+06,1.3963947529e+05,0.0000000000e+00,-2.7576422709e+06,-1.7334555554e+05,-0.0000000000e+00,4.9889037527e+06,2.9505169205e+07,2.6531481466e+00,6.2777459821e-02,1.4313715478e-22,1.8066608117e-23
1.0855721394e-02,2.2211092506e+06,1.4203987627e+05,0.0000000000e+00,-2.7572390697e+06,-1.7632536364e+05,-0.0000000000e+00,4.9885176581e+06,2.9509839625e+07,2.6534561698e+00,6.3863009552e-02,1.4310866833e-22,1.8378752637e-23
1.1039716672e-02,2.2207788891e+06,1.4443990858e+05,0.0000000000e+00,-2.7568289657e+06,-1.7930471410e+05,-0.0000000000e+00,4.9881249520e+06,2.9514590020e+07,2.6537695287e+00,6.4948722918e-02,1.4307968638e-22,1.8690930439e-23
